reqName,reqType,command,startDate,endDate,readinessReq,finishReadiness,unitsReq,criticality
UDP 202007,REG,PACOM,2020-07-10,2021-01-09,2,3,1,10
UDP 202101,REG,PACOM,2021-01-10,2021-07-09,2,3,1,10
UDP 202107,REG,PACOM,2021-07-10,2022-01-09,2,3,1,10
UDP 202201,REG,PACOM,2022-01-10,2022-07-09,2,3,1,10
UDP 202207,REG,PACOM,2022-07-10,2023-01-09,2,3,1,10
FOREIGN AID 201806,REG,PACOM,2018-06-22,2019-01-24,2,3,1,5
JADE SWORD 201810,REG,CENTCOM,2018-10-06,2019-04-06,2,4,1,5
FOREIGN AID 201910,REG,CENTCOM,2019-10-11,2020-05-04,2,4,1,5
ARCTIC CHILL 201904,REG,AFRICOM,2019-04-29,2019-11-13,2,3,1,5
FOREIGN AID 202007,REG,PACOM,2020-07-22,2021-02-02,2,4,1,5
THUNDER X 202011,REG,CENTCOM,2020-11-26,2021-05-25,2,3,1,5
JADE SWORD 202102,REG,CENTCOM,2021-02-27,2021-08-29,2,4,1,5
ALLIED HOPE 201708,REG,CENTCOM,2021-08-15,2022-01-14,2,4,1,5
COMBINED EFFORT 201808,REG,PACOM,2018-08-25,2019-02-23,2,5,1,5
SOUTHERN BLITZ 201907,REG,AFRICOM,2019-07-20,2020-01-14,2,3,1,5
THUNDER Y 202009,REG,CENTCOM,2020-09-05,2020-12-13,2,5,1,5
COMBINED EFFORT 202108,REG,CENTCOM,2021-08-08,2022-02-18,2,3,1,5
