parent,actstart,createdate,durationinhours,parentid,targcomptime,physicalpercentcomplete,istask,id,projectid,taskid,workordergroup,wopriority,fnl,remainingduration,sne,interruptible,referencestart,statusdate,schedfinish,workordernumber,name,schedstart,actfinish,targstarttime,referenceend,status
A388AWR-3C-FBB00,null,2019-03-11 19:54:49.0,2.3,WORKORDER_A388AWR-3C-FBB00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAV/0003_BEDFORD_EAGLENA,82,58,A388AWR-3C-FBB00,20,null,null,null,1,null,2019-03-11 19:54:49.0,2019-04-15 02:18:00.0,AWRAV/0003,GVI - EWIS IN MD FWD-MID CAB-388-200231-00002-01/230,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBH00,null,2019-03-11 20:17:11.0,0.4666666666666667,WORKORDER_A388AWR-3C-FBH00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1292_BEDFORD_EAGLENA,82,83,A388AWR-3C-FBH00,76,null,null,null,1,null,2019-03-11 20:17:11.0,2019-04-15 00:28:00.0,AWRAF/1292,GVI - MD PAX/CREW DOOR M1R-388-ZL-831-00001-01/841,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBG00,null,2019-03-11 20:13:15.0,9.25,WORKORDER_A388AWR-3C-FBG00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0444_BEDFORD_EAGLENA,82,47,A388AWR-3C-FBG00,33,null,null,null,1,null,2019-03-11 20:13:15.0,2019-04-15 09:15:00.0,AWRAF/0444,DVI - LH BODY LANDING GEAR-388-321700-00504-01/750,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBD00,null,2019-03-11 20:06:17.0,0.6666666666666666,WORKORDER_A388AWR-3C-FBD00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRENG/0070_BEDFORD_EAGLENA,82,144,A388AWR-3C-FBD00,77,null,null,null,1,null,2019-03-11 20:06:17.0,2019-04-15 00:40:00.0,AWRENG/0070,GVI-ENG# 4 FAN EXHAUST COWL-388-782000-E7007-01/440,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-HB000,null,2019-03-11 20:37:44.0,10,WORKORDER_A388AWR-3C-HB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1466_BEDFORD_EAGLENA,82,41,A388AWR-3C-HB000,4,null,null,null,1,null,2019-03-11 20:37:44.0,2019-04-15 10:00:00.0,AWRAF/1466,EK-CBMF-ACCESS PANELS-INSTL-EK-CBMF-ACCESS PANELS-INSTL,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FAA00,null,2019-03-11 19:42:22.0,7.5,WORKORDER_A388AWR-3C-FAA00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1089_BEDFORD_EAGLENA,82,13,A388AWR-3C-FAA00,99,null,null,null,1,null,2019-03-11 19:42:22.0,2019-04-15 07:30:00.0,AWRAF/1089,VACUUM WASTE LINE SYSTEM HEALTH MONITORING-388-SEWC380-38-0009/100,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBE00,null,2019-03-11 20:07:56.0,2.6166666666666667,WORKORDER_A388AWR-3C-FBE00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0899_BEDFORD_EAGLENA,82,29,A388AWR-3C-FBE00,67,null,null,null,1,null,2019-03-11 20:07:56.0,2019-04-15 02:37:00.0,AWRAF/0899,DVI - LH O/WING DROOP NOSE-388-574100-00713-01/521,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBH00,null,2019-03-11 20:16:23.0,1.0333333333333334,WORKORDER_A388AWR-3C-FBH00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0641_BEDFORD_EAGLENA,82,59,A388AWR-3C-FBH00,85,null,null,null,1,null,2019-03-11 20:16:23.0,2019-04-15 01:02:00.0,AWRAF/0641,VCK - FWD CARGO DOOR DRAIN VALVES-388-523000-00003-01/821,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 20:58:18.0,4,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB861093001_BEDFORD_EAGLENA,82,224,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 20:58:18.0,2019-04-15 04:00:00.0,AWRB861093001,NRI FOR 388-TECH/CABIN/IFE/LOG/999,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBD00,null,2019-03-11 20:06:41.0,0.35,WORKORDER_A388AWR-3C-FBD00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRENG/0163_BEDFORD_EAGLENA,82,156,A388AWR-3C-FBD00,1,null,null,null,1,null,2019-03-11 20:06:41.0,2019-04-15 00:21:00.0,AWRENG/0163,GVI-ENG#4 FAN COWLS(EWIS)-388-ZL-415-E7001-01/440,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 20:52:22.0,3,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB861659001_BEDFORD_EAGLENA,82,50,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 20:52:22.0,2019-04-15 03:00:00.0,AWRB861659001,NRI FOR 388-TECH/CABIN/IFE/LOG/999,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 20:58:54.0,3,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB861197001_BEDFORD_EAGLENA,82,242,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 20:58:54.0,2019-04-15 03:00:00.0,AWRB861197001,NRI FOR 388-TECH/CABIN/IFE/LOG/999,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 21:00:48.0,7,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB864963001_BEDFORD_EAGLENA,82,299,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 21:00:48.0,2019-04-15 07:00:00.0,AWRB864963001,NRI FOR 388-270-MID-1-SEAT-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-EA000,null,2019-03-11 19:40:03.0,2.8,WORKORDER_A388AWR-3C-EA000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0495_BEDFORD_EAGLENA,82,21,A388AWR-3C-EA000,26,null,null,null,1,null,2019-03-11 19:40:03.0,2019-04-15 02:48:00.0,AWRAF/0495,CLN - FLOW DIVERTER & WASTE INLET-388-383000-00006-01/170,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBA00,null,2019-03-11 19:48:21.0,1.35,WORKORDER_A388AWR-3C-FBA00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0670_BEDFORD_EAGLENA,82,13,A388AWR-3C-FBA00,38,null,null,null,1,null,2019-03-11 19:48:21.0,2019-04-15 01:21:00.0,AWRAF/0670,GVI - NOSE FUSELAGE-388-531100-00505-01/120,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-IH000,null,2019-03-11 20:22:24.0,2.25,WORKORDER_A388AWR-3C-IH000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0515_BEDFORD_EAGLENA,82,1,A388AWR-3C-IH000,54,null,null,null,1,null,2019-03-11 20:22:24.0,2019-04-15 02:15:00.0,AWRAF/0515,LUB - DOOR M1L OUTER HANDLE MECHANISM-388-521000-00001-01/831,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-ED000,null,2019-03-11 19:41:07.0,4.783333333333333,WORKORDER_A388AWR-3C-ED000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRENG/0043_BEDFORD_EAGLENA,82,14,A388AWR-3C-ED000,88,null,null,null,1,null,2019-03-11 19:41:07.0,2019-04-15 04:47:00.0,AWRENG/0043,ENGINE 3 GAS PATH WATER WASH-388-720000-00001-01-E/430,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBB00,null,2019-03-11 19:52:58.0,6.45,WORKORDER_A388AWR-3C-FBB00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0228_BEDFORD_EAGLENA,82,5,A388AWR-3C-FBB00,40,null,null,null,1,null,2019-03-11 19:52:58.0,2019-04-15 06:27:00.0,AWRAF/0228,GVI - DADO PNL DECOMPRSN UNITS-388-256800-00001-01/200,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 21:01:37.0,8,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB868855001_BEDFORD_EAGLENA,82,324,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 21:01:37.0,2019-04-15 08:00:00.0,AWRB868855001,NRI FOR 388-GLY G3U7-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-EB000,null,2019-03-11 20:30:22.0,7.316666666666666,WORKORDER_A388AWR-3C-EB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/10540_BEDFORD_EAGLENA,82,42,A388AWR-3C-EB000,7,null,null,null,1,null,2019-03-11 20:30:22.0,2019-04-15 07:19:00.0,AWRAF/10540,388-LAV/SU SB-REM-388-LAV/SU SB-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBB00,null,2019-03-11 19:54:11.0,1,WORKORDER_A388AWR-3C-FBB00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0113_BEDFORD_EAGLENA,82,40,A388AWR-3C-FBB00,69,null,null,null,1,null,2019-03-11 19:54:11.0,2019-04-15 01:00:00.0,AWRAF/0113,DET - COCKPIT SEAT STR AND ATTACH-388-251000-00002-01/210,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBD00,null,2019-03-11 20:06:29.0,0.6166666666666667,WORKORDER_A388AWR-3C-FBD00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRENG/0079_BEDFORD_EAGLENA,82,150,A388AWR-3C-FBD00,44,null,null,null,1,null,2019-03-11 20:06:29.0,2019-04-15 00:37:00.0,AWRENG/0079,DVI - ENG#4 FAN EXHAUST COWL-388-782300-E7501-01/440,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-HB000,null,2019-03-11 20:42:25.0,9.4,WORKORDER_A388AWR-3C-HB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRCAB/200_BEDFORD_EAGLENA,82,179,A388AWR-3C-HB000,95,null,null,null,1,null,2019-03-11 20:42:25.0,2019-04-15 09:24:00.0,AWRCAB/200,388-UD-G1U4AISLE-NTF-INSTL-388-UD-G1U4AISLE-NTF-INSTL,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-EA000,null,2019-03-11 19:39:32.0,10,WORKORDER_A388AWR-3C-EA000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1452_BEDFORD_EAGLENA,82,6,A388AWR-3C-EA000,31,null,null,null,1,null,2019-03-11 19:39:32.0,2019-04-15 10:00:00.0,AWRAF/1452,PNLS REM HYD COMP-EK-UCHC-ACCESS PANELS-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-CB000,null,2019-03-11 19:38:45.0,0.8833333333333333,WORKORDER_A388AWR-3C-CB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0010_BEDFORD_EAGLENA,82,111,A388AWR-3C-CB000,2,null,null,null,1,null,2019-03-11 19:38:45.0,2019-04-15 00:53:00.0,AWRAF/0010,OPC - CAB FANS SWITCH-388-212100-00001-01/210,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 21:08:08.0,9,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB869346001_BEDFORD_EAGLENA,82,513,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 21:08:08.0,2019-04-15 09:00:00.0,AWRB869346001,NRI FOR EK-RWTE-ACCESS PANELS-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FAE00,null,2019-03-11 19:45:10.0,7,WORKORDER_A388AWR-3C-FAE00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1102_BEDFORD_EAGLENA,82,6,A388AWR-3C-FAE00,32,null,null,null,1,null,2019-03-11 19:45:10.0,2019-04-15 07:00:00.0,AWRAF/1102,LH WINGS UPPER & LOWER METALLIC RIB FEET 22-388-SEWC380-57-0169/LH,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBA00,null,2019-03-11 19:49:15.0,0.8,WORKORDER_A388AWR-3C-FBA00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0674_BEDFORD_EAGLENA,82,39,A388AWR-3C-FBA00,35,null,null,null,1,null,2019-03-11 19:49:15.0,2019-04-15 00:48:00.0,AWRAF/0674,DVI - NOSE FUSELAGE INTRL STR-388-531100-00514-01/130,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 20:59:37.0,3,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB861877001_BEDFORD_EAGLENA,82,264,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 20:59:37.0,2019-04-15 03:00:00.0,AWRB861877001,NRI FOR 388-TECH/CABIN/IFE/LOG/999,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-EB000,null,2019-03-11 20:34:56.0,3.7,WORKORDER_A388AWR-3C-EB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRCAB/172_BEDFORD_EAGLENA,82,177,A388AWR-3C-EB000,81,null,null,null,1,null,2019-03-11 20:34:56.0,2019-04-15 03:42:00.0,AWRCAB/172,388-MD-G2M3AISLE-NTF-REM-388-MD-G2M3AISLE-NTF-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-HF000,null,2019-03-11 20:19:11.0,8,WORKORDER_A388AWR-3C-HF000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1052_BEDFORD_EAGLENA,82,5,A388AWR-3C-HF000,16,null,null,null,1,null,2019-03-11 20:19:11.0,2019-04-15 08:00:00.0,AWRAF/1052,RH-RIB23-31-FAWR-PIPE-INSTL-388-RH-RIB23-31-FAWRPIPE-INSTL,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBB00,null,2019-03-11 19:58:18.0,3.3,WORKORDER_A388AWR-3C-FBB00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRCAB/0112_BEDFORD_EAGLENA,82,161,A388AWR-3C-FBB00,67,null,null,null,1,null,2019-03-11 19:58:18.0,2019-04-15 03:18:00.0,AWRCAB/0112,LAVATORY INSPECTION - 3MF-388-254019-01-ES/04/200,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-JH000,null,2019-03-11 20:26:38.0,0.4,WORKORDER_A388AWR-3C-JH000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0545_BEDFORD_EAGLENA,82,17,A388AWR-3C-JH000,54,null,null,null,1,null,2019-03-11 20:26:38.0,2019-04-15 00:24:00.0,AWRAF/0545,OPC - DOOR M4L SLIDE RELEASE MECHANISM-388-521000-00003-01/834,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-EB000,null,2019-03-11 20:30:40.0,7.5,WORKORDER_A388AWR-3C-EB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/11560_BEDFORD_EAGLENA,82,51,A388AWR-3C-EB000,39,null,null,null,1,null,2019-03-11 20:30:40.0,2019-04-15 07:30:00.0,AWRAF/11560,388-UD-PARTITION-Z3 CNTR- REM-388-UD-PARTITION-Z3 CNTR- REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-JH000,null,2019-03-11 20:26:09.0,0.55,WORKORDER_A388AWR-3C-JH000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0531_BEDFORD_EAGLENA,82,3,A388AWR-3C-JH000,43,null,null,null,1,null,2019-03-11 20:26:09.0,2019-04-15 00:33:00.0,AWRAF/0531,OPC - PAX/CREW DOORS-388-521000-00002-01/834,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-EB000,null,2019-03-11 20:33:22.0,7.75,WORKORDER_A388AWR-3C-EB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/995_BEDFORD_EAGLENA,82,131,A388AWR-3C-EB000,57,null,null,null,1,null,2019-03-11 20:33:22.0,2019-04-15 07:45:00.0,AWRAF/995,388-GLY G2M2-REM-388-GLY G2M2-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-HD000,null,2019-03-11 20:18:42.0,10,WORKORDER_A388AWR-3C-HD000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1443_BEDFORD_EAGLENA,82,12,A388AWR-3C-HD000,18,null,null,null,1,null,2019-03-11 20:18:42.0,2019-04-15 10:00:00.0,AWRAF/1443,PNLS INSTL PYLON 4-EK-PYL4-ACCESS PANELS-INSTL,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-EB000,null,2019-03-11 20:31:55.0,8,WORKORDER_A388AWR-3C-EB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/401_BEDFORD_EAGLENA,82,88,A388AWR-3C-EB000,59,null,null,null,1,null,2019-03-11 20:31:55.0,2019-04-15 08:00:00.0,AWRAF/401,388-290-LH-2-SEAT-REM-388-290-LH-2-SEAT-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBE00,null,2019-03-11 20:08:22.0,0.8,WORKORDER_A388AWR-3C-FBE00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1224_BEDFORD_EAGLENA,82,42,A388AWR-3C-FBE00,79,null,null,null,1,null,2019-03-11 20:08:22.0,2019-04-15 00:48:00.0,AWRAF/1224,GVI - LH FLAP TRACK 4 & FAIRING-388-ZL-533-00001-01/533,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-EB000,null,2019-03-11 20:34:45.0,8.6,WORKORDER_A388AWR-3C-EB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRCAB/162_BEDFORD_EAGLENA,82,172,A388AWR-3C-EB000,15,null,null,null,1,null,2019-03-11 20:34:45.0,2019-04-15 08:36:00.0,AWRCAB/162,388-MD-FWD-NTF-REM-388-MD-FWD-NTF-REM,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBF00,null,2019-03-11 20:11:09.0,0.9333333333333333,WORKORDER_A388AWR-3C-FBF00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/1231_BEDFORD_EAGLENA,82,77,A388AWR-3C-FBF00,77,null,null,null,1,null,2019-03-11 20:11:09.0,2019-04-15 00:56:00.0,AWRAF/1231,GVI- FLAP TRACK 5 & FAIRING-RH-388-ZL-534-00002-01/634,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-HB000,null,2019-03-11 20:42:54.0,6.4,WORKORDER_A388AWR-3C-HB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRCAB/226_BEDFORD_EAGLENA,82,193,A388AWR-3C-HB000,81,null,null,null,1,null,2019-03-11 20:42:54.0,2019-04-15 06:24:00.0,AWRCAB/226,388-UD-G3U6AISLE-NTF-INSTL-388-UD-G3U6AISLE-NTF-INSTL,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-CB000,null,2019-03-11 19:36:23.0,0.8666666666666667,WORKORDER_A388AWR-3C-CB000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAV/0096_BEDFORD_EAGLENA,82,21,A388AWR-3C-CB000,61,null,null,null,1,null,2019-03-11 19:36:23.0,2019-04-15 00:52:00.0,AWRAV/0096,OPC - COMMERCIAL DC LOAD SHEDDING-388-246000-00001-01/210,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 20:53:20.0,3,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB865051001_BEDFORD_EAGLENA,82,79,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 20:53:20.0,2019-04-15 03:00:00.0,AWRB865051001,NRI FOR 388-TECH/CABIN/IFE/LOG/999,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FBC00,null,2019-03-11 20:00:43.0,0.7666666666666667,WORKORDER_A388AWR-3C-FBC00_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0812_BEDFORD_EAGLENA,82,57,A388AWR-3C-FBC00,11,null,null,null,1,null,2019-03-11 20:00:43.0,2019-04-15 00:46:00.0,AWRAF/0812,DVI - CONE / REAR FUSELAGE-388-535100-00508-01/310,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-FB000,null,2019-03-11 19:31:43.0,0,WORKORDER_A388AWR-3C-FB000_BEDFORD_EAGLENA,null,null,0,WORKORDER_A388AWR-3C-FBH00_BEDFORD_EAGLENA,82,null,A388AWR-3C-FBH00,0,null,null,null,0,null,2019-03-11 19:31:43.0,2019-04-15 00:00:00.0,A388AWR-3C-FBH00,ROUTINE Z800: Doors,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-G0000,null,2019-03-11 20:59:01.0,9,WORKORDER_A388AWR-3C-G0000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRB861649001_BEDFORD_EAGLENA,82,246,A388AWR-3C-G0000,0,null,null,null,1,null,2019-03-11 20:59:01.0,2019-04-15 09:00:00.0,AWRB861649001,NRI FOR 388-TECH/CABIN/IFE/LOG/999,2019-04-15 00:00:00.0,null,null,null,WAPPR
A388AWR-3C-JH000,null,2019-03-11 20:26:15.0,0.55,WORKORDER_A388AWR-3C-JH000_BEDFORD_EAGLENA,null,null,1,WORKORDER_AWRAF/0534_BEDFORD_EAGLENA,82,6,A388AWR-3C-JH000,53,null,null,null,1,null,2019-03-11 20:26:15.0,2019-04-15 00:33:00.0,AWRAF/0534,OPC - PAX/CREW DOORS-388-521000-00002-01/842,2019-04-15 00:00:00.0,null,null,null,WAPPR
