ID,unitCode,unitName,taskForce,lastStartDate,lastEndDate,finishedReadiness,reqName,reqType,command,startDate,endDate,readinessReq,finishReadiness,unitsReq,criticality,dwellTD,dwellTR,deploymentReadiness,req_startDate
20,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,OEF 201812,REG,CENTCOM,2018-12-25,2019-06-24,2,3,1,10,612,2.90047393365,1,2018-12-25
21,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,MEU 202102 WC,REG,CENTCOM-WC,2021-02-20,2021-09-19,2,3,1,10,408,2.22950819672,1,2021-02-20
22,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,SPMAGTF I 201803,REG,CENTCOM,2018-03-15,2018-09-14,2,3,1,10,366,2.03333333333,1,2018-03-15
23,UC 1/3,III MEF 8th Inf Bn 2nd Mardiv,III MEF,2016-07-01,2016-12-31,3,UDP 201801,REG,PACOM,2018-01-10,2018-07-09,2,3,1,10,375,2.04918032787,1,2018-01-10
24,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,UDP 202207,REG,PACOM,2022-07-10,2023-01-09,2,3,1,10,411,2.28333333333,1,2022-07-10
25,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,SPMAGTF II 202205,REG,AFRICOM,2022-05-01,2022-10-31,2,3,1,10,366,2.03333333333,1,2022-05-01
26,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,SPMAGTF III 201901,REG,PACOM,2019-01-01,2019-06-30,2,3,1,10,469,2.22274881517,1,2019-01-01
27,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,ARCTIC CHILL 201904,REG,AFRICOM,2019-04-29,2019-11-13,2,3,1,5,592,3.2349726776,1,2019-04-29
28,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,MEU 201902 WC,REG,CENTCOM-WC,2019-02-20,2019-09-19,2,3,1,10,407,2.22404371585,1,2019-02-20
29,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,SPMAGTF II 202005,REG,AFRICOM,2020-05-01,2020-10-31,2,3,1,10,391,2.14835164835,1,2020-05-01
30,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,MEU 202208 EC,REG,CENTCOM-EC,2022-08-20,2023-03-19,2,3,1,10,519,2.45971563981,1,2022-08-20
31,UC 3/1,I MEF 3rd Inf Bn 1st Mardiv,I MEF,2017-01-10,2017-07-09,5,UDP 201807,REG,PACOM,2018-07-10,2019-01-09,2,3,1,10,366,2.03333333333,1,2018-07-10
32,UC 2/6,II MEF 2nd Inf Bn 6th Mardiv,II MEF,2014-12-25,2015-06-24,3,SOUTHERN BLITZ 201907,REG,AFRICOM,2019-07-20,2020-01-14,2,3,1,5,385,2.13888888889,1,2019-07-20
33,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,OEF 202112,REG,CENTCOM,2021-12-25,2022-06-24,2,3,1,10,462,2.17924528302,1,2021-12-25
34,UC 2/8,II MEF 2nd Inf Bn 8th Mardiv,II MEF,2016-09-23,2017-04-22,2,SPMAGTF III 202201,REG,PACOM,2022-01-01,2022-10-31,2,3,1,10,366,2,1,2022-01-01
35,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,OEF 201906,REG,CENTCOM,2019-06-25,2019-12-24,2,3,1,10,366,2.02209944751,1,2019-06-25
36,UC 1/5,I MEF 1st Inf Bn 5th Mardiv,I MEF,2016-02-20,2016-09-19,4,OEF 202106,REG,CENTCOM,2021-06-25,2021-12-24,2,3,1,10,417,2.02427184466,1,2021-06-25
37,UC 2/6,II MEF 2nd Inf Bn 6th Mardiv,II MEF,2014-12-25,2015-06-24,3,SPMAGTF III 201801,REG,PACOM,2018-01-01,2018-06-30,2,3,1,10,922,5.09392265193,1,2018-01-01
38,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,SPMAGTF I 201809,REG,CENTCOM,2018-09-15,2019-03-14,2,3,1,10,448,2.47513812155,1,2018-09-15
39,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,SPMAGTF I 202003,REG,CENTCOM,2020-03-15,2020-09-14,2,3,1,10,367,2.03888888889,1,2020-03-15
40,UC 2/2,II MEF 2nd Inf Bn 2nd Mardiv,II MEF,2017-05-01,2017-10-31,3,SPMAGTF II 201811,REG,AFRICOM,2018-11-01,2019-04-30,2,3,1,10,366,2,1,2018-11-01
41,UC 3/7,I MEF 3rd Inf Bn 7th Mardiv,I MEF,2016-06-25,2016-12-24,2,SPMAGTF III 202207,REG,PACOM,2022-07-01,2022-12-31,2,3,1,10,366,2.03333333333,1,2022-07-01
42,UC 2/4,I MEF 2nd Inf Bn 4th Mardiv,I MEF,2016-12-25,2017-06-24,5,SPMAGTF I 202109,REG,CENTCOM,2021-09-15,2022-03-14,2,3,1,10,366,2,1,2021-09-15
43,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,OEF 202006,REG,CENTCOM,2020-06-25,2020-12-24,2,3,1,10,361,2.00555555556,1,2020-06-25
44,UC 1/4,I MEF 1st Inf Bn 4th Mardiv,I MEF,2016-07-10,2017-01-09,2,OEF 201912,REG,CENTCOM,2019-12-25,2020-06-24,2,3,1,10,366,2.01098901099,1,2019-12-25
45,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,COMBINED EFFORT 201808,REG,PACOM,2018-08-25,2019-02-23,2,5,1,5,959,5.24043715847,1,2018-08-25
46,UC 3/2,II MEF 3rd Inf Bn 2nd Mardiv,II MEF,2017-03-15,2017-09-14,2,OEF 202012,REG,CENTCOM,2020-12-15,2021-06-24,2,3,1,10,398,2.0101010101,1,2020-12-15
47,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,MEU 201908 EC,REG,CENTCOM-EC,2019-08-20,2020-03-19,2,3,1,10,519,2.45971563981,1,2019-08-20
48,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,JADE SWORD 201810,REG,CENTCOM,2018-10-06,2019-04-06,2,4,1,5,931,4.39150943396,1,2018-10-06
49,UC 1/1,I MEF 1st Inf Bn 1st Mardiv,I MEF,2017-07-10,2018-01-09,3,THUNDER X 202011,REG,CENTCOM,2020-11-26,2021-05-25,2,3,1,5,434,2.05687203791,1,2020-11-26
50,UC 1/8,II MEF 1st Inf Bn 8th Mardiv,II MEF,2015-08-20,2016-03-19,3,SPMAGTF II 202111,REG,AFRICOM,2021-11-01,2022-04-30,2,3,1,10,366,2,1,2021-11-01
51,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,SPMAGTF I 202203,REG,CENTCOM,2022-03-15,2022-09-14,2,3,1,10,406,2.08205128205,1,2022-03-15
52,UC 1/7,I MEF 1st Inf Bn 7th Mardiv,I MEF,2017-02-20,2017-09-19,3,UDP 202201,REG,PACOM,2022-01-10,2022-07-09,2,3,1,10,382,2.0989010989,1,2022-01-10
53,UC 3/3,III MEF 2nd Inf Bn 3rd Mardiv,III MEF,2017-07-01,2017-12-31,4,UDP 202101,REG,PACOM,2021-01-10,2021-07-09,2,3,1,10,376,2.05464480874,1,2021-01-10
54,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,OEF 202206,REG,CENTCOM,2022-06-25,2022-12-24,2,3,1,10,468,2.6,1,2022-06-25
55,UC 3/3,III MEF 2nd Inf Bn 3rd Mardiv,III MEF,2017-07-01,2017-12-31,4,SPMAGTF III 201907,REG,PACOM,2019-07-01,2019-12-31,2,3,1,10,547,2.98907103825,1,2019-07-01
56,UC 3/4,I MEF 3rd Inf Bn 4th Mardiv,I MEF,2016-03-15,2016-09-14,3,UDP 202007,REG,PACOM,2020-07-10,2021-01-09,2,3,1,10,533,2.46759259259,1,2020-07-10
57,UC 3/6,II MEF 3rd Inf Bn 6th Mardiv,II MEF,2017-11-01,2018-04-30,4,SPMAGTF II 202011,REG,AFRICOM,2020-11-01,2021-04-30,2,3,1,10,367,2.00546448087,1,2020-11-01
58,UC 2/2,II MEF 2nd Inf Bn 2nd Mardiv,II MEF,2017-05-01,2017-10-31,3,THUNDER Y 202009,REG,CENTCOM,2020-09-05,2020-12-13,2,5,1,5,494,2.74444444444,1,2020-09-05
59,UC 3/5,I MEF 3rd Inf Bn 5th Mardiv,I MEF,2017-09-15,2018-03-14,3,SPMAGTF I 201903,REG,CENTCOM,2019-03-15,2019-09-14,2,3,1,10,366,2.03333333333,1,2019-03-15
60,UC 1/5,I MEF 1st Inf Bn 5th Mardiv,I MEF,2016-02-20,2016-09-19,4,FOREIGN AID 201910,REG,CENTCOM,2019-10-11,2020-05-04,2,4,1,5,387,1.83412322275,1,2019-10-11
61,UC 3/8,II MEF 3rd Inf Bn 8th Mardiv,II MEF,2016-11-01,2017-04-30,5,SPMAGTF II 202105,REG,AFRICOM,2021-05-01,2021-10-31,2,3,1,10,366,2.02209944751,1,2021-05-01
62,UC 3/1,I MEF 3rd Inf Bn 1st Mardiv,I MEF,2017-01-10,2017-07-09,5,COMBINED EFFORT 202108,REG,CENTCOM,2021-08-08,2022-02-18,2,3,1,5,395,2.18232044199,1,2021-08-08
63,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,SPMAGTF I 202103,REG,CENTCOM,2021-03-15,2021-09-14,2,3,1,10,366,2.02209944751,1,2021-03-15
64,UC 2/7,I MEF 2nd Inf Bn 7th Mardiv,I MEF,2017-06-25,2017-12-24,5,UDP 201901,REG,PACOM,2019-01-10,2019-07-09,2,3,1,10,382,2.0989010989,1,2019-01-10
65,UC 2/5,I MEF 2nd Inf Bn 5th Mardiv,I MEF,2015-07-10,2016-01-09,2,MEU 202002 WC,REG,CENTCOM-WC,2020-02-20,2020-09-19,2,3,1,10,362,1.98901098901,1,2020-02-20
66,UC 1/6,II MEF 1st Inf Bn 6th Mardiv,II MEF,2016-05-01,2016-10-31,4,MEU 201808 EC,REG,CENTCOM-EC,2018-08-20,2019-03-19,2,3,1,10,658,3.5956284153,1,2018-08-20
67,UC 1/4,I MEF 1st Inf Bn 4th Mardiv,I MEF,2016-07-10,2017-01-09,2,UDP 202107,REG,PACOM,2021-07-10,2022-01-09,2,3,1,10,381,2.09340659341,1,2021-07-10
68,UC 2/2,II MEF 2nd Inf Bn 2nd Mardiv,II MEF,2017-05-01,2017-10-31,3,MEU 202108 EC,REG,CENTCOM-EC,2021-08-20,2022-03-19,2,3,1,10,250,2.52525252525,2,2021-08-20
69,UC 1/4,I MEF 1st Inf Bn 4th Mardiv,I MEF,2016-07-10,2017-01-09,2,OEF 201806,REG,CENTCOM,2018-06-25,2018-12-24,2,3,1,10,532,2.90710382514,1,2018-06-25
70,UC 2/1,I MEF 2nd Inf Bn 1st Mardiv,I MEF,2016-09-15,2017-03-14,4,SPMAGTF I 202209,REG,CENTCOM,2022-09-15,2023-03-14,2,3,1,10,366,2,1,2022-09-15
71,UC 1/2,II MEF 1st Inf Bn 2nd Mardiv,II MEF,2017-08-20,2018-03-19,2,ALLIED HOPE 201708,REG,CENTCOM,2021-08-15,2022-01-14,2,4,1,5,514,2.42452830189,1,2021-08-15
72,UC 1/5,I MEF 1st Inf Bn 5th Mardiv,I MEF,2016-02-20,2016-09-19,4,MEU 201802 WC,REG,CENTCOM-WC,2018-02-20,2018-09-19,2,3,1,10,519,2.44811320755,1,2018-02-20
